longitude,latitude,median_age,population,vector_count
-122.2,37.81,45.0,1067.0,426.0
-122.21,37.8,50.0,1260.0,552.0
-122.21,37.8,38.0,951.0,487.0
-122.21,37.81,52.0,510.0,224.0
-122.22,37.81,52.0,765.0,308.0
-122.22,37.8,52.0,1129.0,460.0
-122.22,37.8,52.0,1073.0,441.0
-122.22,37.8,52.0,1185.0,515.0
-122.22,37.81,52.0,756.0,340.0
-122.22,37.81,52.0,1034.0,521.0
-122.23,37.8,52.0,787.0,459.0
-122.23,37.81,52.0,612.0,213.0
-122.22,37.81,52.0,1021.0,380.0
-122.23,37.81,52.0,861.0,258.0
-122.24,37.81,52.0,953.0,327.0
-122.24,37.81,52.0,634.0,256.0
-122.23,37.81,52.0,878.0,352.0
-122.24,37.81,52.0,918.0,483.0
-122.24,37.8,52.0,360.0,175.0
-122.25,37.8,52.0,1197.0,488.0
-122.24,37.81,52.0,1048.0,518.0
-122.25,37.81,46.0,1373.0,747.0
-122.25,37.8,42.0,1715.0,1015.0
-122.25,37.8,43.0,1359.0,722.0
-122.25,37.8,41.0,1062.0,413.0
-122.25,37.8,29.0,1335.0,773.0
-122.24,37.79,27.0,1171.0,429.0
-122.25,37.79,45.0,1475.0,460.0
-122.25,37.79,50.0,742.0,196.0
-122.25,37.79,52.0,1086.0,363.0
-122.25,37.8,36.0,1645.0,543.0
-122.25,37.8,43.0,1710.0,644.0
-122.24,37.8,52.0,731.0,228.0
-122.24,37.8,52.0,1118.0,347.0
-122.24,37.8,52.0,1006.0,335.0
-122.24,37.8,47.0,1213.0,554.0
-122.23,37.8,52.0,772.0,257.0
-122.24,37.8,52.0,1321.0,401.0
-122.24,37.8,49.0,1487.0,677.0
-122.23,37.8,52.0,488.0,186.0
-122.23,37.8,51.0,949.0,392.0
-122.23,37.8,50.0,1149.0,415.0
-122.23,37.8,52.0,844.0,280.0
-122.23,37.79,43.0,4367.0,1231.0
-122.23,37.79,52.0,1659.0,412.0
-122.23,37.79,30.0,1011.0,263.0
-122.24,37.79,39.0,1464.0,389.0
-122.24,37.79,47.0,1237.0,303.0
-122.24,37.79,52.0,647.0,168.0
-122.24,37.79,43.0,1284.0,357.0
-122.25,37.79,51.0,228.0,55.0
-122.25,37.79,39.0,381.0,123.0
-122.25,37.79,52.0,846.0,227.0
-122.26,37.8,20.0,1659.0,676.0
-122.22,37.77,52.0,520.0,138.0
-122.22,37.77,52.0,866.0,259.0
-122.23,37.77,52.0,612.0,183.0
-122.23,37.78,52.0,415.0,126.0
-122.23,37.78,52.0,994.0,213.0
-122.22,37.78,50.0,1525.0,477.0
-122.23,37.78,43.0,1506.0,438.0
-122.23,37.78,52.0,1008.0,255.0
-122.23,37.78,44.0,2813.0,751.0
-122.23,37.79,48.0,1481.0,343.0
-122.23,37.79,49.0,859.0,219.0
-122.22,37.79,37.0,1608.0,523.0
-122.23,37.79,30.0,425.0,140.0
-122.23,37.79,40.0,564.0,184.0
-122.22,37.79,44.0,961.0,272.0
-122.22,37.79,52.0,2273.0,685.0
-122.21,37.79,52.0,600.0,195.0
-122.22,37.79,46.0,1647.0,527.0
-122.22,37.79,49.0,1201.0,424.0
-122.22,37.79,38.0,2167.0,659.0
-122.2,37.79,29.0,939.0,340.0
-122.21,37.79,47.0,859.0,292.0
-122.21,37.79,34.0,1517.0,516.0
-122.21,37.79,35.0,1143.0,386.0
-122.21,37.8,39.0,1109.0,464.0
-122.21,37.8,39.0,1221.0,446.0
-122.2,37.8,43.0,1115.0,455.0
-122.2,37.8,52.0,706.0,268.0
-122.21,37.8,52.0,1883.0,706.0
-122.2,37.8,41.0,804.0,340.0
-122.21,37.8,48.0,506.0,252.0
-122.19,37.8,48.0,610.0,238.0
-122.19,37.8,46.0,768.0,332.0
-122.19,37.79,50.0,462.0,184.0
-122.2,37.79,40.0,667.0,235.0
-122.2,37.8,46.0,1059.0,399.0
-122.19,37.8,52.0,637.0,277.0
-122.19,37.79,45.0,1106.0,454.0
-122.19,37.79,28.0,1737.0,669.0
-122.2,37.79,35.0,1009.0,390.0
-122.2,37.79,49.0,737.0,210.0
-122.2,37.79,44.0,1354.0,491.0
-122.21,37.79,45.0,1530.0,474.0
-122.2,37.79,45.0,1410.0,480.0
-122.21,37.78,46.0,1390.0,569.0
-122.21,37.78,52.0,1065.0,269.0
-122.21,37.78,52.0,792.0,245.0
-122.21,37.78,49.0,779.0,245.0
-122.22,37.78,44.0,2269.0,610.0
-122.21,37.78,43.0,1227.0,407.0
-122.21,37.78,47.0,753.0,241.0
-122.22,37.77,40.0,547.0,135.0
-122.22,37.78,50.0,1807.0,440.0
-122.22,37.78,44.0,1700.0,495.0
-122.22,37.78,51.0,1543.0,393.0
-122.21,37.76,52.0,1085.0,300.0
-122.21,37.77,52.0,353.0,137.0
-122.21,37.77,52.0,473.0,149.0
-122.2,37.77,49.0,1621.0,483.0
-122.21,37.77,46.0,1183.0,354.0
-122.21,37.77,43.0,836.0,277.0
-122.19,37.77,42.0,900.0,263.0
-122.2,37.77,39.0,1888.0,537.0
-122.2,37.77,41.0,1024.0,341.0
-122.2,37.78,52.0,1225.0,423.0
-122.2,37.78,39.0,1071.0,376.0
-122.2,37.78,50.0,1128.0,378.0
-122.2,37.77,43.0,1537.0,484.0
-122.21,37.78,44.0,1240.0,393.0
-122.19,37.78,52.0,469.0,168.0
-122.19,37.77,52.0,1086.0,425.0
-122.19,37.77,52.0,1144.0,417.0
-122.19,37.78,52.0,1109.0,375.0
-122.19,37.78,52.0,984.0,369.0
-122.18,37.78,33.0,575.0,47.0
-122.19,37.78,49.0,496.0,209.0
-122.19,37.78,52.0,555.0,190.0
-122.2,37.78,45.0,869.0,327.0
-122.18,37.79,39.0,236.0,106.0
-122.18,37.79,41.0,626.0,214.0
-122.18,37.79,46.0,922.0,329.0
-122.19,37.79,47.0,582.0,256.0
-122.19,37.79,50.0,546.0,201.0
-122.18,37.81,37.0,620.0,266.0
-122.18,37.8,34.0,442.0,195.0
-122.18,37.8,23.0,955.0,328.0
-122.13,37.77,24.0,916.0,324.0
-122.16,37.79,22.0,4985.0,1967.0
-122.17,37.78,42.0,651.0,267.0
-122.17,37.77,30.0,1704.0,703.0
-122.18,37.78,43.0,1085.0,407.0
-122.18,37.78,50.0,713.0,284.0
-122.17,37.78,49.0,468.0,181.0
-122.17,37.78,52.0,296.0,121.0
-122.16,37.77,47.0,570.0,218.0
-122.16,37.77,48.0,446.0,180.0
-122.16,37.77,45.0,968.0,384.0
-122.16,37.77,39.0,857.0,316.0
-122.17,37.77,39.0,912.0,322.0
-122.17,37.77,31.0,1360.0,452.0
-122.17,37.76,41.0,1074.0,355.0
-122.17,37.76,47.0,965.0,382.0
-122.18,37.76,37.0,933.0,320.0
-122.17,37.76,38.0,987.0,354.0
-122.18,37.76,50.0,907.0,246.0
-122.18,37.76,52.0,447.0,165.0
-122.18,37.76,49.0,1299.0,451.0
-122.18,37.77,27.0,396.0,157.0
-122.18,37.77,42.0,877.0,268.0
-122.18,37.76,43.0,1111.0,367.0
-122.19,37.76,49.0,790.0,269.0
-122.18,37.77,52.0,1479.0,554.0
-122.18,37.77,51.0,1173.0,438.0
-122.18,37.77,52.0,1029.0,366.0
-122.19,37.76,52.0,1030.0,350.0
-122.2,37.76,47.0,826.0,279.0
-122.19,37.77,41.0,1412.0,454.0
-122.19,37.77,45.0,1132.0,349.0
-122.19,37.76,41.0,522.0,159.0
-122.19,37.76,45.0,630.0,237.0
-122.2,37.75,36.0,531.0,133.0
-122.2,37.76,37.0,1925.0,667.0
-122.19,37.76,38.0,1144.0,351.0
-122.19,37.75,19.0,1481.0,520.0
-122.19,37.75,28.0,435.0,162.0
-122.19,37.76,26.0,984.0,303.0
-122.19,37.74,36.0,567.0,159.0
-122.18,37.74,42.0,380.0,123.0
-122.19,37.73,44.0,825.0,244.0
-122.19,37.74,43.0,417.0,155.0
-122.19,37.73,45.0,801.0,287.0
-122.18,37.73,42.0,646.0,198.0
-122.18,37.73,43.0,855.0,285.0
-122.18,37.73,44.0,435.0,136.0
-122.18,37.73,42.0,2736.0,780.0
-122.17,37.74,41.0,1481.0,414.0
-122.17,37.74,47.0,327.0,137.0
-122.17,37.74,43.0,494.0,179.0
-122.17,37.73,43.0,1231.0,341.0
-122.18,37.74,35.0,323.0,109.0
-122.17,37.74,46.0,749.0,225.0
-122.17,37.74,46.0,693.0,178.0
-122.18,37.74,46.0,1339.0,354.0
-122.18,37.75,45.0,282.0,80.0
-122.18,37.75,46.0,621.0,195.0
-122.17,37.75,38.0,732.0,259.0
-122.18,37.75,45.0,901.0,260.0
-122.19,37.75,36.0,482.0,150.0
-122.18,37.75,43.0,652.0,213.0
-122.18,37.75,36.0,651.0,166.0
-122.17,37.76,33.0,999.0,286.0
-122.17,37.75,43.0,907.0,306.0
-122.17,37.75,41.0,828.0,230.0
-122.17,37.75,44.0,763.0,254.0
-122.17,37.75,48.0,935.0,349.0
-122.16,37.76,45.0,1437.0,484.0
-122.16,37.75,38.0,1516.0,482.0
-122.17,37.75,47.0,597.0,185.0
-122.17,37.76,40.0,949.0,342.0
-122.16,37.76,46.0,881.0,302.0
-122.16,37.76,36.0,1438.0,519.0
-122.15,37.76,39.0,763.0,270.0
-122.14,37.77,27.0,1297.0,355.0
-122.14,37.76,34.0,545.0,211.0
-122.13,37.76,26.0,1222.0,533.0
-122.12,37.75,33.0,808.0,219.0
-122.12,37.75,28.0,329.0,109.0
-122.14,37.75,36.0,299.0,109.0
-122.14,37.75,33.0,579.0,202.0
-122.13,37.75,30.0,137.0,50.0
-122.13,37.75,36.0,229.0,93.0
-122.13,37.74,41.0,1476.0,648.0
-122.16,37.75,46.0,429.0,154.0
-122.15,37.75,40.0,849.0,255.0
-122.15,37.75,44.0,946.0,331.0
-122.15,37.74,41.0,571.0,191.0
-122.16,37.75,24.0,1137.0,386.0
-122.16,37.75,44.0,378.0,135.0
-122.15,37.74,43.0,853.0,272.0
-122.15,37.74,49.0,764.0,282.0
-122.16,37.75,40.0,928.0,261.0
-122.16,37.75,35.0,406.0,133.0
-122.17,37.74,34.0,824.0,280.0
-122.17,37.75,37.0,835.0,259.0
-122.16,37.74,43.0,826.0,295.0
-122.16,37.74,46.0,567.0,211.0
-122.16,37.74,52.0,355.0,144.0
-122.16,37.74,47.0,533.0,166.0
-122.16,37.74,44.0,609.0,215.0
-122.29,37.9,49.0,576.0,236.0
-122.29,37.9,52.0,594.0,286.0
-122.29,37.89,52.0,870.0,377.0
-122.3,37.9,38.0,1027.0,509.0
-122.29,37.89,52.0,693.0,326.0
-122.3,37.89,46.0,815.0,375.0
-122.3,37.9,15.0,2420.0,1146.0
-122.3,37.89,36.0,518.0,276.0
-122.3,37.89,52.0,620.0,275.0
-122.33,37.89,42.0,551.0,266.0
-122.34,37.88,37.0,2556.0,924.0
-122.29,37.89,52.0,1498.0,696.0
-122.29,37.88,50.0,523.0,227.0
-122.29,37.89,52.0,374.0,153.0
-122.29,37.89,52.0,1004.0,371.0
-122.28,37.88,52.0,769.0,334.0
-122.29,37.89,52.0,940.0,423.0
-122.27,37.9,42.0,645.0,256.0
-122.26,37.9,52.0,705.0,288.0
-122.27,37.9,52.0,684.0,275.0
-122.27,37.9,52.0,572.0,236.0
-122.27,37.9,52.0,671.0,253.0
-122.27,37.89,52.0,975.0,365.0
-122.28,37.9,52.0,779.0,312.0
-122.28,37.9,52.0,658.0,244.0
-122.28,37.9,52.0,819.0,335.0
-122.28,37.89,52.0,412.0,168.0
-122.28,37.89,52.0,835.0,369.0
-122.28,37.89,52.0,722.0,306.0
-122.28,37.89,52.0,1085.0,487.0
-122.27,37.89,52.0,973.0,355.0
-122.27,37.89,52.0,723.0,272.0
-122.26,37.9,37.0,903.0,362.0
-122.25,37.89,41.0,356.0,181.0
-122.26,37.89,52.0,1005.0,462.0
-122.26,37.89,52.0,1205.0,504.0
-122.25,37.89,37.0,987.0,450.0
-122.25,37.89,42.0,1031.0,448.0
-122.26,37.88,52.0,894.0,404.0
-122.26,37.88,52.0,823.0,377.0
-122.27,37.88,52.0,1232.0,621.0
-122.27,37.88,52.0,669.0,367.0
-122.27,37.88,44.0,989.0,550.0
-122.28,37.88,52.0,1058.0,464.0
-122.28,37.88,52.0,506.0,207.0
-122.28,37.88,52.0,489.0,218.0
-122.29,37.88,52.0,824.0,388.0
-122.29,37.88,48.0,1034.0,475.0
-122.29,37.88,46.0,920.0,425.0
-122.29,37.88,52.0,841.0,380.0
-122.3,37.88,45.0,749.0,137.0
-122.3,37.88,52.0,208.0,98.0
-122.3,37.87,10.0,228.0,100.0
-122.3,37.86,50.0,287.0,128.0
-122.29,37.85,52.0,218.0,106.0
-122.3,37.88,46.0,854.0,355.0
-122.3,37.87,52.0,1695.0,684.0
-122.28,37.88,52.0,403.0,172.0
-122.28,37.87,52.0,288.0,131.0
-122.28,37.87,49.0,963.0,521.0
-122.29,37.87,50.0,1129.0,516.0
-122.29,37.87,52.0,386.0,204.0
-122.28,37.88,52.0,811.0,406.0
-122.28,37.87,46.0,1293.0,675.0
-122.28,37.87,46.0,805.0,431.0
-122.27,37.88,52.0,1372.0,876.0
-122.27,37.87,30.0,862.0,425.0
-122.27,37.88,37.0,1152.0,616.0
-122.26,37.88,52.0,483.0,249.0
-122.26,37.88,52.0,1558.0,573.0
-122.26,37.88,52.0,1798.0,769.0
-122.25,37.87,41.0,266.0,123.0
-122.25,37.87,42.0,2184.0,422.0
-122.25,37.87,52.0,2016.0,477.0
-122.25,37.87,52.0,1349.0,250.0
-122.26,37.87,52.0,3337.0,350.0
-122.26,37.87,52.0,1721.0,949.0
-122.27,37.87,35.0,1675.0,1000.0
-122.27,37.87,49.0,707.0,350.0
-122.27,37.87,52.0,1424.0,694.0
-122.28,37.86,52.0,393.0,189.0
-122.28,37.87,52.0,828.0,339.0
-122.28,37.87,52.0,571.0,292.0
-122.29,37.87,44.0,1382.0,713.0
-122.29,37.87,46.0,792.0,321.0
-122.29,37.86,52.0,815.0,372.0
-122.28,37.86,52.0,788.0,346.0
-122.29,37.87,52.0,1145.0,430.0
-122.29,37.86,50.0,1354.0,563.0
-122.28,37.86,52.0,958.0,445.0
-122.28,37.86,49.0,1361.0,608.0
-122.28,37.85,52.0,1005.0,449.0
-122.27,37.86,49.0,924.0,414.0
-122.28,37.86,52.0,780.0,358.0
-122.28,37.86,52.0,1582.0,636.0
-122.28,37.86,41.0,1213.0,568.0
-122.27,37.86,52.0,486.0,267.0
-122.27,37.86,52.0,494.0,175.0
-122.27,37.86,52.0,849.0,365.0
-122.27,37.86,52.0,1127.0,548.0
-122.26,37.86,35.0,3276.0,1742.0
-122.26,37.86,52.0,1493.0,794.0
-122.26,37.86,52.0,1461.0,679.0
-122.26,37.86,52.0,1253.0,538.0
-122.25,37.86,48.0,1656.0,459.0
-122.25,37.86,52.0,514.0,202.0
-122.25,37.86,52.0,719.0,295.0
-122.25,37.86,52.0,878.0,449.0
-122.24,37.86,52.0,517.0,214.0
-122.24,37.85,52.0,1366.0,496.0
-122.25,37.86,52.0,1316.0,590.0
-122.26,37.85,52.0,1508.0,755.0
-122.27,37.85,52.0,1800.0,815.0
-122.27,37.85,47.0,719.0,326.0
-122.27,37.85,50.0,675.0,255.0
-122.27,37.85,52.0,875.0,363.0
-122.27,37.85,52.0,152.0,77.0
-122.27,37.85,47.0,843.0,319.0
-122.28,37.85,52.0,281.0,132.0
-122.28,37.85,44.0,506.0,204.0
-122.28,37.85,48.0,1054.0,466.0
-122.29,37.84,35.0,1017.0,414.0
-122.28,37.83,52.0,1623.0,765.0
-122.3,37.84,14.0,3100.0,2051.0
-122.23,37.83,52.0,947.0,361.0
-122.22,37.82,39.0,808.0,315.0
-122.22,37.82,42.0,1018.0,335.0
-122.23,37.82,52.0,1001.0,352.0
-122.23,37.82,52.0,1005.0,369.0
-122.23,37.82,52.0,1192.0,383.0
-122.24,37.83,52.0,585.0,227.0
-122.24,37.83,52.0,916.0,316.0
-122.23,37.82,52.0,556.0,179.0
-122.24,37.82,52.0,1470.0,520.0
-122.25,37.82,52.0,1104.0,398.0
-122.23,37.76,52.0,1242.0,518.0
-122.23,37.76,52.0,805.0,321.0
-122.23,37.76,52.0,378.0,162.0
-122.24,37.77,52.0,481.0,223.0
-122.23,37.77,52.0,409.0,160.0
-122.24,37.77,52.0,885.0,373.0
-122.25,37.77,52.0,1468.0,567.0
-122.25,37.77,52.0,482.0,215.0
-122.25,37.77,52.0,825.0,264.0
-122.25,37.77,52.0,429.0,158.0
-122.26,37.78,52.0,528.0,208.0
-122.26,37.78,52.0,496.0,216.0
-122.27,37.78,52.0,718.0,265.0
-122.27,37.78,52.0,630.0,265.0
-122.27,37.78,45.0,723.0,286.0
-122.27,37.78,13.0,959.0,486.0
-122.28,37.79,30.0,3668.0,855.0
-122.3,37.77,42.0,2037.0,355.0
-122.28,37.78,29.0,3741.0,1273.0
-122.29,37.78,42.0,821.0,300.0
-122.28,37.77,52.0,870.0,347.0
-122.28,37.77,27.0,1901.0,966.0
-122.29,37.76,18.0,1243.0,663.0
-122.28,37.78,50.0,730.0,327.0
-122.26,37.77,52.0,793.0,299.0
-122.27,37.77,52.0,1033.0,434.0
-122.27,37.77,52.0,872.0,363.0
-122.27,37.77,52.0,849.0,457.0
-122.27,37.77,52.0,1121.0,518.0
-122.25,37.77,52.0,872.0,445.0
-122.26,37.77,52.0,637.0,297.0
-122.26,37.77,52.0,663.0,340.0
-122.26,37.77,52.0,411.0,172.0
-122.26,37.77,52.0,915.0,413.0
-122.26,37.77,52.0,921.0,477.0
-122.24,37.77,43.0,585.0,266.0
-122.25,37.77,43.0,2086.0,1053.0
-122.23,37.76,52.0,1303.0,535.0
-122.23,37.76,52.0,374.0,176.0
-122.24,37.76,52.0,979.0,472.0
-122.24,37.76,52.0,827.0,446.0
-122.23,37.76,52.0,658.0,253.0
-122.23,37.75,50.0,654.0,268.0
-122.24,37.75,45.0,384.0,146.0
-122.24,37.75,27.0,1499.0,797.0
-122.24,37.76,52.0,1128.0,522.0
-122.24,37.76,49.0,1110.0,492.0
-122.24,37.76,52.0,1119.0,415.0
-122.24,37.73,21.0,2930.0,1235.0
-122.25,37.74,25.0,897.0,390.0
-122.24,37.72,5.0,7427.0,2718.0
-122.27,37.73,31.0,2973.0,1312.0
-122.25,37.76,52.0,1340.0,632.0
-122.27,37.74,28.0,2974.0,1484.0
-122.27,37.77,23.0,2690.0,1151.0
-122.28,37.75,20.0,583.0,326.0
-122.06,37.77,12.0,5781.0,2007.0
-122.06,37.73,5.0,1738.0,512.0
-122.06,37.71,36.0,1478.0,529.0
-122.07,37.71,40.0,746.0,270.0
-122.07,37.71,36.0,1235.0,455.0
-122.07,37.72,26.0,1411.0,484.0
-122.08,37.72,31.0,1368.0,521.0
-122.08,37.72,32.0,1048.0,367.0
-122.08,37.71,35.0,1004.0,365.0
-122.09,37.71,35.0,1086.0,367.0
-122.1,37.72,30.0,922.0,350.0
-122.11,37.71,36.0,1950.0,819.0
-122.1,37.7,25.0,1413.0,595.0
-122.1,37.69,30.0,1444.0,568.0
-122.09,37.71,31.0,749.0,269.0
-122.09,37.7,31.0,867.0,329.0
-122.1,37.71,27.0,2723.0,1035.0
-122.09,37.7,30.0,731.0,263.0
-122.08,37.71,38.0,781.0,301.0
-122.08,37.71,38.0,1784.0,652.0
-122.08,37.7,32.0,1156.0,410.0
-122.07,37.7,39.0,645.0,277.0
-122.06,37.7,37.0,821.0,315.0
-122.06,37.7,33.0,1912.0,770.0
-122.07,37.7,32.0,1487.0,694.0
-122.08,37.7,25.0,1645.0,710.0
-122.09,37.7,33.0,2239.0,1051.0
-122.07,37.69,29.0,1021.0,552.0
-122.08,37.69,36.0,1105.0,467.0
-122.07,37.69,31.0,2999.0,1295.0
-122.08,37.69,43.0,740.0,284.0
-122.08,37.69,42.0,629.0,244.0
-122.08,37.68,37.0,314.0,205.0
-122.08,37.68,15.0,1479.0,668.0
-122.09,37.69,20.0,1732.0,800.0
-122.15,37.74,52.0,1338.0,550.0
-122.14,37.74,52.0,440.0,192.0
-122.14,37.73,51.0,922.0,393.0
-122.15,37.74,49.0,611.0,288.0
-122.16,37.73,52.0,994.0,412.0
-122.15,37.74,52.0,545.0,230.0
-122.15,37.73,52.0,317.0,143.0
-122.15,37.73,45.0,1573.0,736.0
-122.17,37.73,46.0,925.0,435.0
-122.16,37.73,49.0,768.0,385.0
-122.17,37.73,52.0,620.0,292.0
-122.16,37.73,52.0,425.0,207.0
-122.18,37.72,45.0,1003.0,305.0
-122.18,37.71,45.0,519.0,135.0
-122.17,37.71,38.0,481.0,198.0
-122.18,37.7,36.0,1209.0,519.0
-122.18,37.7,35.0,1398.0,525.0
-122.19,37.71,36.0,158.0,58.0
-122.17,37.72,42.0,1817.0,664.0
-122.17,37.72,46.0,766.0,289.0
-122.17,37.72,5.0,814.0,328.0
-122.16,37.72,38.0,618.0,239.0
-122.17,37.72,43.0,2139.0,789.0
-122.16,37.71,37.0,632.0,253.0
-122.16,37.71,36.0,366.0,134.0
-122.16,37.72,10.0,877.0,485.0
-122.15,37.73,28.0,830.0,573.0
-122.15,37.72,31.0,739.0,379.0
-122.15,37.72,47.0,540.0,266.0
-122.15,37.72,29.0,2024.0,962.0
-122.14,37.73,52.0,823.0,334.0
-122.14,37.73,38.0,711.0,353.0
-122.14,37.73,43.0,931.0,368.0
-122.13,37.73,33.0,686.0,270.0
-122.13,37.72,26.0,1030.0,397.0
-122.13,37.72,35.0,976.0,392.0
-122.12,37.71,35.0,552.0,210.0
-122.13,37.72,25.0,340.0,171.0
-122.14,37.72,39.0,288.0,132.0
-122.14,37.72,45.0,555.0,248.0
